deviance	1	1500
gam[1]	1501	3000
gam[2]	3001	4500
lam[1]	4501	6000
lam[2]	6001	7500
lam[3]	7501	9000
lam[4]	9001	10500
lam[5]	10501	12000
lam[6]	12001	13500
lam[7]	13501	15000
phx[1,1]	15001	16500
phx[1,2]	16501	18000
phx[2,1]	18001	19500
phx[2,2]	19501	21000
sgd	21001	22500
sgm[1]	22501	24000
sgm[2]	24001	25500
sgm[3]	25501	27000
sgm[4]	27001	28500
ubeta	28501	30000
uby[1]	30001	31500
uby[2]	31501	33000
uby[3]	33001	34500
uby[4]	34501	36000
uby[5]	36001	37500
uby[6]	37501	39000
uby[7]	39001	40500
uby[8]	40501	42000
uby[9]	42001	43500
uby[10]	43501	45000
