,mean,sd,2.50%,25%,50%,75%,97.50%
gam1[2],-0.52603682,0.211256356,-0.9351025,-0.66585,-0.52575,-0.383075,-0.1212075
gam1[3],0.344518141,0.45777373,-0.5852625,0.0309575,0.36255,0.669425,1.178025
gam2[1],0.87419164,0.067521718,0.7458975,0.827674999,0.874,0.9192,1.006024988
gam2[2],0.356449366,0.157606359,0.04711,0.250875,0.3588,0.464925,0.66031
gam2[3],0.395779768,0.472788966,-0.514305,0.0732675,0.3843,0.716,1.332025
"phx1[1,1]",0.033180968,0.002461834,0.02868975,0.03145,0.03303,0.03477,0.03828
"phx1[1,2]",0.023920652,0.001823038,0.02054,0.02268,0.02385,0.02507,0.02775
"phx1[1,3]",0.001142088,0.000380894,0.000380375,0.00088675,0.001147,0.001405,0.001883
"phx1[2,1]",0.023920652,0.001823038,0.02054,0.02268,0.02385,0.02507,0.02775
"phx1[2,2]",0.041778352,0.003808097,0.03480975,0.03916,0.041525,0.04426,0.0497705
"phx1[2,3]",0.001009613,0.000436176,0.000161245,0.000713575,0.001011,0.001308,0.001871025
"phx1[3,1]",0.001142088,0.000380894,0.000380375,0.00088675,0.001147,0.001405,0.001883
"phx1[3,2]",0.001009613,0.000436176,0.000161245,0.000713575,0.001011,0.001308,0.001871025
"phx1[3,3]",0.006249412,0.000229338,0.00581995,0.006089,0.006244,0.006399,0.006715125
"phx2[1,1]",0.63040396,0.051378599,0.5431975,0.5939,0.626949998,0.6608,0.7469025
"phx2[1,2]",0.1768956,0.014139411,0.150797499,0.1667,0.1763,0.1866,0.205502499
"phx2[1,3]",0.000680031,0.001622941,-0.002413375,-0.000425975,0.0006595,0.00177125,0.0039416
"phx2[2,1]",0.1768956,0.014139411,0.150797499,0.1667,0.1763,0.1866,0.205502499
"phx2[2,2]",0.09891552,0.009817682,0.08018975,0.09197,0.098535,0.1055,0.119402499
"phx2[2,3]",0.001881965,0.000679905,0.000560285,0.001414,0.0018635,0.00233225,0.003241075
"phx2[3,1]",0.000680031,0.001622941,-0.002413375,-0.000425975,0.0006595,0.00177125,0.0039416
"phx2[3,2]",0.001881965,0.000679905,0.000560285,0.001414,0.0018635,0.00233225,0.003241075
"phx2[3,3]",0.006327777,0.000237795,0.005889975,0.00616,0.006321,0.006489,0.006814
deviance,83860.104,309.3937525,83240,83660,83860,84070,84460
