"","true","bias","RMSE"
"mu.y1[1]",0.1,0.0192845626954,0.0406781220815368
"mu.y1[2]",0.1,-0.000501583140000011,0.0642863245637859
"mu.y1[3]",0.1,-0.02493214546108,0.0632455260016021
"mu.y1[4]",0.1,0.0137491437512,0.0696813504682037
"mu.y1[5]",0.1,-0.00445693144880001,0.0977412554388597
"mu.y1[6]",0.1,-0.00438042817192001,0.0549246932932523
"mu.y1[7]",0.1,0.0178107095704,0.0537218720678343
"mu.y1[8]",0.1,-0.0253571868632,0.0560309680106828
"mu.y1[9]",0.1,-0.07141382285592,0.0984843526009551
"mu.y1[10]",0.1,0.0280557587832,0.0461250158204664
"mu.y1[11]",0.1,-0.0109264390724,0.056899931878347
"mu.y1[12]",0.1,0.013919880576,0.0243548953327001
"mu.y1[13]",0.1,0.00680834799999999,0.00982154371764154
"mu.y1[14]",0.1,0.00133479307999999,0.0164647218251595
"mu.y1[15]",0.1,0.00313840303999999,0.0126181206558345
"mu.y1[16]",0.1,-0.00670800000000001,0.00981100911142474
"mu.y1[17]",0.1,0.0093088452,0.0139461959650537
"mu.y2[1]",0,-0.0001961281868,0.0457055045876528
"mu.y2[2]",0,0.0504935639164,0.0953901250214823
"mu.y2[3]",0,-0.05828412779088,0.076579215011002
"mu.y2[4]",0,0.01745096974076,0.042416157033093
"mu.y2[5]",0,0.03662197930548,0.0815641432172966
"mu.y2[6]",0,-0.0064115911718,0.0504908443623181
"mu.y2[7]",0,-0.01799557302896,0.032569873057092
"mu.y2[8]",0,-0.01520509183,0.0475361364749407
"mu.y2[9]",0,-0.02542549679468,0.0742161193403779
"mu.y2[10]",0,0.0078550040514,0.0400241537220912
"mu.y2[11]",0,-0.05078709706624,0.0720431856548367
"mu.y2[12]",0,0.03533041234304,0.0465933870435426
"mu.y2[13]",0,0.0140542405328,0.0229206474436546
"mu.y2[14]",0,0.01927555592804,0.0335762892861228
"mu.y2[15]",0,0.012487927970356,0.0153942953632587
"mu.y2[16]",0,0.00122834244042,0.0246567977602953
"mu.y2[17]",0,0.02244814797116,0.0271905965623782
"lam1[1]",0.9,-0.01571334,0.0563229918238802
"lam1[2]",0.8,-0.0237735840000001,0.0710287701681216
"lam1[3]",0.8,0.00752719599999996,0.0532940242489178
"lam1[4]",0.7,0.0346293040000001,0.0728088863678527
"lam1[5]",1.1,0.094961852,0.11767820444366
"lam1[6]",1.2,0.126128424,0.13320556614529
"lam1[7]",1.3,0.056833696,0.116055572689603
"lam1[8]",1.2,0.0989551560000002,0.12198992144835
"lam1[9]",0.3,0.010741672,0.0153645266522545
"lam1[10]",0.3,0.023416912,0.0264601155468195
"lam1[11]",0.3,0.01719044,0.026647804821846
"lam1[12]",0.3,0.019206872,0.0268261212259842
"lam1[13]",0.3,0.012809728,0.0148496999521903
"lam2[1]",1.1,0.0879288319999998,0.126069243489586
"lam2[2]",1.2,0.071067684,0.143275901135539
"lam2[3]",1.3,0.074615452,0.219186265897776
"lam2[4]",1.2,0.083489132,0.165721631579833
"lam2[5]",0.9,-0.00453132000000001,0.0584923059075609
"lam2[6]",0.8,0.0367000479999999,0.0818370268778899
"lam2[7]",0.8,0.019696144,0.0415324978580831
"lam2[8]",0.7,0.061026272,0.105782190386655
"lam2[9]",0.5,0.014625272,0.0215316091574411
"lam2[10]",0.5,0.013844748,0.0162685545412418
"lam2[11]",0.5,0.010174416,0.0242335673360007
"lam2[12]",0.5,-0.00298580799999998,0.0141956394992716
"lam2[13]",0.5,0.00320656399999997,0.00925675005013314
"sgm1[1]",1,-0.247693356,0.252332397275502
"sgm1[2]",1,-0.06893622,0.119738409502079
"sgm1[3]",1,0.047881056,0.0754862144056685
"sgm1[4]",1,0.00825966399999989,0.123278753049674
"sgm1[5]",1,0.125228844,0.203858904125492
"sgm1[6]",1,0.0208630400000001,0.108754426256871
"sgm1[7]",1,-0.053407432,0.0870336460235824
"sgm1[8]",1,0.0130568200000001,0.0557823460704184
"sgm1[9]",1,0.077847424,0.105917176204822
"sgm1[10]",1,-0.016254492,0.0998136279590145
"sgm1[11]",1,0.0774936079999999,0.110459915524405
"sgm1[12]",0.2,0.039172932,0.041473031753928
"sgm1[13]",0.2,0.002726008,0.0122673482944473
"sgm1[14]",0.2,0.003316228,0.00799538096688832
"sgm1[15]",0.2,0.00791418799999999,0.0106455810126193
"sgm1[16]",0.2,0.00484906399999999,0.00618864079049349
"sgm1[17]",0.2,0.00518288,0.0100007276478224
"sgm2[1]",0.7,-0.129658172,0.1332761953337
"sgm2[2]",0.7,-0.03250308,0.153507109954167
"sgm2[3]",0.7,0.082602672,0.118458259570992
"sgm2[4]",0.7,-0.00796334799999998,0.0618244327879035
"sgm2[5]",0.7,0.0356601520000001,0.0900027894746051
"sgm2[6]",0.7,0.026949968,0.0973212004710366
"sgm2[7]",0.7,0.00319750800000007,0.0402709259475498
