YO.dat

  1.461,  1.608, -1.570,  1.531, -0.995, -0.547, 1.693, -0.541,
  0.683, -0.452,  1.262,  0.874,     NA, -0.547, -0.668, -0.541,
 -0.873,  0.235, -0.862,  0.546, -0.602, -0.547,     NA,     NA,
  0.294, -0.108,  0.908,  1.203,  0.185,  1.951, -0.668, -0.541,
  0.294,  0.235, -0.154, -0.768,  0.185, -0.547, -0.668, -0.541,
  1.461,     NA,  1.616,  1.531, -0.995,  1.451,     NA, -0.541,
 -0.484, -0.452,  1.616,  1.531, -0.995, -0.547, -0.668,  1.393,
 -0.484, -0.108,  0.554, -0.111,     NA, -0.547, -0.668,  0.910,
  1.461, -1.138, -0.862,  1.531, -0.995, -0.547, -0.668,  0.426,
  0.683, -0.795,  0.908, -0.440, -0.209,     NA,     NA, -0.541,
  0.294,  0.922,     NA, -1.097,     NA, -0.048,  1.300,  1.877,
 -0.873, -1.482,     NA, -1.425, -0.995,  1.951,  2.874, -0.541,
  1.461,  0.578,  0.908,  0.546,  0.185,  0.952,  1.300, -0.541,
  1.461,  0.578,  0.554, -0.768,     NA, -0.547, -0.668, -0.541,
 -0.484,  0.578,  1.616,  1.531,  2.545,  1.451,  2.874, -0.541,
  1.461,  1.608, -1.570,  1.531, -0.995,  1.451, -0.668, -0.541,
  0.294,  0.922, -0.862, -0.440,  0.578,     NA,  0.906,  1.877,
 -1.651, -1.482, -0.862,  0.217, -0.995, -0.547, -0.668, -0.541,
  1.461,  1.608, -0.862, -0.440, -0.995, -0.547, -0.275,  0.426,
  0.294,  0.235, -0.154, -0.111,  0.578, -0.547,  0.906,  0.426,
 -0.095,  0.235,  0.200, -0.111, -0.209, -0.048, -0.668, -0.541,
 -0.095,  0.235,  0.908, -0.440, -0.602, -0.547, -0.668, -0.541,
  1.072,  1.265, -0.154,  0.546,  2.152, -0.547,  0.513,  1.393,
 -0.873,  0.922, -0.862, -0.440, -0.602, -0.547, -0.668, -0.541,
  1.072, -0.108, -0.154, -0.111, -0.209, -0.048,  0.119,  1.393,
 -2.040, -0.795, -1.570, -0.111,  0.578,  0.452, -0.668,     NA,
  1.461, -0.108,  1.616, -1.425, -0.995,     NA,     NA, -0.541,
  1.072, -0.795, -1.216, -0.440,  0.578, -0.547, -0.275, -0.541,
 -0.873, -0.452, -0.862, -0.768, -0.602, -0.547, -0.668, -0.541,
  0.683, -0.108, -0.154, -0.111,  0.185, -0.547, -0.668, -0.541,
  1.461,  1.608, -1.570,     NA,     NA, -0.547, -0.668, -0.541,
 -0.484, -1.482, -1.570,  1.531, -0.602, -0.547,  0.906, -0.541,
  1.072,  0.922,  1.262, -0.768, -0.209,  0.452, -0.275, -0.541,
  0.294, -0.452,  0.554,  0.217, -0.995, -0.547,  0.119,  2.361,
 -1.262, -1.482,  1.616,     NA, -0.995, -0.547,     NA,     NA,
 -0.484,  0.235, -0.154,  0.546,  0.578, -0.547, -0.668,  3.811,
  0.683, -0.108, -1.570, -0.440, -0.995, -0.547, -0.668,     NA,
  0.294,  0.922, -0.154,  0.546,  1.758, -0.547,  0.119, -0.541,
  1.072,  0.922, -0.508, -0.111,  0.185,  0.952,  0.906,  0.426,
  0.294, -0.452, -0.508, -0.111, -0.209,  1.951,  0.513,  1.393,
 -1.262, -0.795,  0.908, -1.425, -0.995,  2.950, -0.668, -0.058,
 -0.484, -0.795,  1.262, -0.440,  0.578,  0.452,  0.906, -0.058,
 -0.095,  0.578, -0.154,     NA,  0.972, -0.547, -0.668, -0.541,
 -0.484,  0.922,  0.908, -0.768,  0.185, -0.547,     NA, -0.541,
  0.294,  0.922,  0.554,  0.546, -0.602, -0.547,  0.119,     NA,
 -1.262, -1.482,  0.908,     NA, -0.995, -0.547,     NA,     NA,
 -2.040, -1.482,  0.554,  0.217, -0.209, -0.547, -0.668, -0.541,
  0.294,  0.578,  0.554, -1.425, -0.995,  1.451,  0.906,  1.393,
 -0.484,  1.608, -1.570, -1.425, -0.602, -0.547, -0.668, -0.541,
  1.461,  0.578,  1.616,     NA, -0.602, -0.547, -0.668, -0.541,
  1.461,  1.608, -1.216, -1.097, -0.995, -0.547, -0.668, -0.541,
  0.683,  0.235,  1.616, -0.440, -0.209, -0.547, -0.275, -0.541,
 -0.873,  0.235, -0.154, -0.768,     NA, -0.547, -0.668,     NA,
 -0.873,  0.235, -0.508,  0.546, -0.209,  1.451, -0.668,     NA,
  1.461,  1.608, -0.862, -0.111, -0.995, -0.547, -0.668, -0.541,
  0.294, -0.795, -0.154, -0.111,  0.578, -0.547, -0.668,     NA,
 -1.651, -1.482,     NA,  0.546, -0.209, -0.048, -0.668,     NA,
  1.461, -1.482,     NA,     NA, -0.209, -0.547,     NA,     NA,
  0.294, -1.482, -1.570, -0.111, -0.995, -0.547, -0.668,  0.426,
 -2.040, -1.482,  0.200,  0.874,  0.578, -0.547, -0.668, -0.058,
 -0.484,  0.922,  0.908, -1.425, -0.995,  0.452,  2.087, -0.541,
 -0.095,  1.608,  0.908, -0.111, -0.209, -0.547,  0.906, -0.541,
  0.294, -0.108, -0.862, -1.097, -0.602, -0.547, -0.275,  0.910,
 -1.262, -1.138,  0.554, -1.097, -0.602, -0.547, -0.275, -0.541,
 -1.651, -1.482,  0.908,     NA,  0.578, -0.547, -0.668, -0.541,
  0.683,  1.608, -0.154, -1.425, -0.995,  0.452, -0.668, -0.541,
 -0.484, -0.795,  0.908,     NA,  0.578, -0.547,  0.906, -0.541,
 -0.484, -1.482,  1.616,  1.531,     NA,  1.951, -0.668, -0.541,
 -0.095,  1.608, -0.154, -0.111,  0.578,  1.451, -0.668, -0.541,
  1.461,  1.608,  1.616, -0.111,  2.545,  1.951,  2.874, -0.541,
  1.461,  0.922, -1.570, -1.425, -0.995, -0.547, -0.668, -0.541,
 -0.484,  0.235, -0.508,  0.546, -0.209,  0.452, -0.668, -0.058,
  0.683,  0.922, -0.154,  0.874, -0.995, -0.547,  0.513, -0.541,
  0.294, -0.108,  0.554,  0.217,  0.578,  0.952,  0.513, -0.058,
  0.683,  0.235, -0.154,  0.546,  0.185,  0.952,  0.906,  0.426,
 -0.095,  0.578,  0.200,  0.217, -0.209, -0.048, -0.668, -0.541,
 -0.095, -0.108,     NA, -0.440, -0.209, -0.547, -0.668, -0.541,
 -0.873, -0.795, -0.862,  0.217, -0.209,  0.452, -0.275,  1.877,
  0.294,  0.235, -0.508,     NA,  0.578,  0.952,  0.513,  0.426,
 -0.873, -1.482,  0.908,  1.531, -0.209,  0.952,  0.906,  1.393,
  0.683, -1.138, -0.508, -0.111, -0.209,  0.952,  0.119, -0.058,
 -0.484, -0.108,  0.200, -0.111,  0.185, -0.048,  0.513,  0.910,
  0.294,  0.922, -0.862,  0.874,  0.578, -0.547,  1.693,  0.426,
  0.683,  1.608, -1.216, -0.768, -0.602, -0.547,  2.874, -0.541,
  1.461,  1.608, -0.154, -1.425,  0.578, -0.547,  0.119, -0.541,
  0.294, -0.795, -0.862,  0.874, -0.602, -0.547,  0.513,  1.877,
 -1.262, -0.795, -0.862,  0.874,  0.185, -0.547, -0.668,  0.426,
 -1.651,     NA, -1.570,  1.531,     NA,     NA,     NA,     NA,
  1.461, -0.108, -0.154, -0.111,     NA, -0.547,  0.906, -0.541,
  0.294,  0.922, -1.570,     NA, -0.995,  1.451,     NA,     NA,
 -0.095, -1.482,  0.200, -0.111,  0.578,  1.451, -0.668, -0.541,
  0.294, -1.138,  0.200,  0.217,  0.578, -0.547, -0.668, -0.541,
     NA, -1.482,     NA, -1.425, -0.995, -0.547,  0.119, -0.541,
 -0.484, -0.108, -0.154,  1.203,  0.185,  0.452,  0.119, -0.541,
 -1.262,  1.265,     NA,  1.531, -0.602,  0.452,  1.300,  1.393,
  0.683, -0.108, -0.508,  0.546,  0.972,  1.451, -0.668,  0.910,
  0.683,  0.235,  0.908,  0.546, -0.209,  1.951,  1.693,  1.393,
 -0.484, -0.452, -0.508, -1.097, -0.209,  0.952, -0.668, -0.541,
 -0.095, -0.108, -0.154, -0.768, -0.995, -0.547,  0.906,  2.844,
  0.683,  1.265,  1.616, -1.425, -0.995,  2.950,  2.480,  2.361,
 -0.484, -0.108,  0.908,  1.203,  1.365, -0.547,  0.513, -0.541,
  0.683,  0.578,  0.554, -1.425,  1.758, -0.547, -0.668, -0.541,
  0.683,  0.922,  0.554, -1.425, -0.995, -0.547, -0.668, -0.541,
 -0.484, -0.452,  0.200, -0.111,  0.972,  0.952,  2.480, -0.541,
  0.294,  0.922,  1.616, -1.425,  2.545, -0.547, -0.668,  2.361,
 -1.262, -1.138, -1.570, -1.425, -0.602, -0.547, -0.668, -0.541,
 -0.484,     NA, -0.154, -1.425, -0.209, -0.547, -0.668, -0.541,
  1.461, -0.108,     NA,  1.203, -0.602, -0.547, -0.668, -0.541,
  0.294, -1.138, -0.508,  1.203, -0.602, -0.547,  2.087,  0.426,
 -0.484, -0.452,  0.554, -1.425, -0.995, -0.547, -0.668, -0.541,
 -2.040, -0.795, -0.862, -1.097, -0.995, -0.547, -0.668, -0.541,
 -0.484, -0.108, -0.154, -0.111,  0.972, -0.547, -0.668, -0.541,
 -0.095,  0.235,  0.200,  0.217,  0.578,  1.951,  2.087,  3.811,
 -0.873,  1.265,  1.262,  0.874,  0.578,  2.450,  2.874, -0.541,
 -0.095,  0.235, -0.154, -0.111,  0.578, -0.048, -0.275, -0.541,
  0.683,  0.922,  0.554,  0.217, -0.602,  0.452, -0.275, -0.058,
 -0.484,  0.578,  0.554,  1.203, -0.209,  1.951,  2.874,  0.910,
 -2.040, -1.138,  1.262,  1.531, -0.602,  1.451,  0.119, -0.058,
 -0.873, -0.452, -0.862, -0.111, -0.995,  0.952,  0.906,  0.910,
